FileName,ComponentName,RouteKey,PrimaryRoles,PrimaryPurpose,SubTabs,KeyActions,ActionsWired,DataSource,PersistenceType,EmptyStatePresent,ErrorHandlingPresent,ReadOnlyEnforced,LockedButtonUsed,ApproxLines,DomainCategory,MaturityScore,ProductionStatus,KnownGaps
Dashboard.tsx,Dashboard,Dashboard,"ownership, director_of_operations, cmo, clinical_supervisor",Executive and clinical operations overview,"Executive Overview, Clinical, Financial, Operations",Navigate modules; tour; pin quick actions,Partial (navigation only; no backend),Page-local mock constants + mockPatients,localStorage (quick-action pins only),No,No,No,No,1790,Operational Overview,2,Demo,No real data; no real-time updates
CommandCenter.tsx,CommandCenter,CommandCenter,"nursing, bht_supervisor, clinical_supervisor",Real-time charge-nurse command center,"Overview, Alerts, Quality Metrics, Staffing, Patient Detail",Acknowledge alerts; resolve issues; patient drill-down,Partial (local state; demo),mockPatients + page-local command-center data,None,No,No,Yes (readOnly prop),Yes,1099,Nursing Operations,2,Demo,No real alert delivery; no escalation routing
CensusBedBoard.tsx,CensusBedBoard,CensusBedBoard,"nursing, bht_supervisor, director_of_operations, admin_staff",Census and bed management view,"Census, Beds, Pending Admits, Pending Discharge, Waitlist, Notes/WD Alerts",Filter census; manage beds; waitlist actions,Partial (local demo state),mockPatients + page-local census/bed data,None,No,No,Yes,Yes,1043,Bed Management,2,Demo,No persistence; no real bed assignment backend
PatientList.tsx,PatientList,PatientList,All clinical users,Search and browse patient roster,None (filter bar),Search; filter; open patient,Wired (navigation; local filters),mockPatients,None,Yes (filtered empty state),No,No,No,798,Patient Management,2,Demo,Mock data only; no pagination backend
PatientDetail.tsx,PatientDetail,PatientDetail,"clinical_supervisor, certified_clinician, nursing, prescriber",Comprehensive patient chart view,"Overview, Clinical, Notes, Assessments, Treatment Plan, Documents/Timeline",Review chart; navigate sub-sections; clinical actions,Partial (navigation; local state),mockPatients + page-local chart data,None,Partial,No,Yes (readOnly prop),Yes,1716,Patient Management,2.5,Demo,No persistence; chart data is mock
DemoPatientDetail.tsx,DemoPatientDetail,DemoPatientDetail,All (demo bypass),Demo-mode patient chart for prospect tours,"Overview, Clinical, Notes, Assessments, Timeline",Browse chart; navigate back,UI only,Page-local demo patient data,None,No,No,No,No,979,Demo / Sales,1,Demo,Demo-only; not a production screen
Admissions.tsx,Admissions,Admissions,"admin_staff, clinical_supervisor",Multi-step patient intake and admission,"Referrals, Pre-Screen, Intake, Assignment, Admission",Complete intake; document screening; admit patient,Partial (local state; no backend),Page-local referral data + mockReferrals,None,Partial,No,No,No,1115,Admissions,2,Demo,No persistence; no real eligibility integration
Discharges.tsx,Discharges,Discharges,"clinical_supervisor, admin_staff",Manage patient discharges and discharge planning,"Active Discharges, Undo Queue, Planning Checklist",Initiate discharge; planning tasks; aftercare assign,Partial (local state),mockPatients + page-local discharge data,None,No,No,No,No,~600,Discharges,2,Demo,No persistence; undo window not cross-session
ChartReview.tsx,ChartReview,ChartReview,"clinical_supervisor, certified_clinician",Review and audit clinical chart documentation,"Summary, Notes, Labs, Orders",Review chart; flag issues; add annotations,Partial (local state),mockPatients + page-local chart data,None,No,No,Yes,No,~700,Clinical Documentation,2,Demo,No real chart pull; mock data only
ProgressNotes.tsx,ProgressNotes,ProgressNotes,"clinical_supervisor, certified_clinician, mh_therapist",AI-assisted progress note authoring (BIRP/DAP/SOAP/GIRP),"Format selector (BIRP/DAP/SOAP/GIRP)",Write note; AI draft; clinical review; clarity; co-sign; sign,Partial (local state; AI wired; no backend),mockPatients + aiNoteEngine + clarityConfig,None (all in-memory; aiAuditLog in state),No,Yes (AI errors),Yes (readOnly prop),Yes,~2200,Clinical Documentation,3.5,Demo/Partial,No note persistence; AI audit log in-memory only
TreatmentPlans.tsx,TreatmentPlans,TreatmentPlans,"clinical_supervisor, certified_clinician",Create and manage patient treatment plans,None (inline sections),Create plan; add goals/objectives; submit for review; approve,Partial (local state),mockPatients + page-local plan data,None,No,No,Yes,Yes,1576,Clinical Documentation,2.5,Demo,No persistence; no co-sign enforcement backend
ASAMAssessments.tsx,ASAMAssessments,ASAMAssessments,"clinical_supervisor, certified_clinician",Conduct ASAM multidimensional assessment,"6 ASAM Dimensions",Complete each dimension; score; summarize,Partial (local state),Page-local assessment logic,None,No,No,Yes,Yes,~900,Clinical Assessment,2.5,Demo,No persistence; no level-of-care recommendation backend
GroupNotes.tsx,GroupNotes,GroupNotes,"clinical_supervisor, certified_clinician, mh_therapist",Document group therapy session notes with member participation,"Group List, Note Entry",Select group; add members; document attendance/participation; sign,Partial (local state),mockGroups + page-local group data,None,No,No,Yes,Yes,~800,Clinical Documentation,2.5,Demo,No persistence; no member participation tracking backend
CosignQueue.tsx,CosignQueue,CosignQueue,"clinical_supervisor",Queue of notes requiring clinical supervisor co-signature,None,Review note; co-sign; reject,Partial (local state),mockPatients + page-local note queue,None,No,No,No,No,~500,Clinical Documentation,2,Demo,No backend queue; co-sign not persisted
AppointmentCalendar.tsx,AppointmentCalendar,AppointmentCalendar,"admin_staff, certified_clinician, clinical_supervisor",Schedule and view patient appointments,"Day, Week, Month views",Create appointment; reschedule; cancel; view,Partial (local state),Page-local appointment data,None,No,No,Yes,Yes,~700,Scheduling,1.5,Demo,No booking engine; no reminder delivery
GroupSchedule.tsx,GroupSchedule,GroupSchedule,"admin_staff, clinical_supervisor",Manage group therapy schedule,"Day/Week/Group views",Create group session; assign clinician; view schedule,Partial (local state),mockGroups + page-local schedule,None,No,No,Yes,Yes,~600,Scheduling,1.5,Demo,No real scheduling backend
RiskDashboard.tsx,RiskDashboard,RiskDashboard,"clinical_supervisor, cmo",Patient risk stratification and alert management,"Risk Overview, High-Risk, Alerts",View risk scores; manage alerts; drill down,Partial (navigation; local state),mockPatients + page-local risk data,None,No,No,No,No,~800,Clinical Risk,2,Demo,All risk scores are mock; no real risk algorithm
RecoveryEngagementScore.tsx,RecoveryEngagementScore,RecoveryEngagementScore,"clinical_supervisor, certified_clinician",Track and visualize Recovery Engagement Score (RES),"Score Overview, Trends, Components",View RES; view trends; patient drill-down,Demo (local state),mockPatients + page-local RES data,None,No,No,No,No,~700,Outcomes,2,Demo,RES algorithm not clinically validated; all mock data
OutcomeTracking.tsx,OutcomeTracking,OutcomeTracking,"clinical_supervisor, director_of_operations",Track patient outcomes over time,"Outcomes by Program, Individual, Comparative",View outcome measures; filter by program; export,Partial (local state),mockPatients + page-local outcome data,None,No,No,No,No,~700,Outcomes,2,Demo,All outcome data mock; no real instrument scoring
ReferralTracker.tsx,ReferralTracker,ReferralTracker,"business_development, admin_staff",Track inbound and outbound referrals,"Active, Closed, Source Analytics",Manage referrals; update status; convert to admission,Partial (local state),mockReferrals + page-local data,None,No,No,No,No,~700,CRM/Referrals,2,Demo,No CRM integration; referrals not persisted
