ID,Domain,Gap,Evidence,Priority,Classification,Risk,UserImpact,BusinessImpact,RecommendedTask,Dependencies,EstimatedComplexity
SUN-001,Data Persistence,No real database,All data is stored in in-memory React state,P0,Launch Blocker,Data loss on refresh or crash,Staff must re-enter all clinical and operational data,Product cannot support production operations or contracts,Implement a production database with durable CRUD persistence,"Backend architecture, schema design, hosting",XL
SUN-002,Data Persistence,No Sunrise OS backend routes,api-server is separate and disconnected from Sunrise OS,P0,Launch Blocker,Frontend data cannot be securely persisted,Users see demo behavior rather than a reliable system,No deployable production operating platform,Create authenticated Sunrise OS API routes and service layer,"Database, auth, API contract",XL
SUN-003,Data Persistence,No migration strategy,No production persistence layer or schema migrations exist,P1,Technical Debt,Data upgrades may corrupt or lose records,Existing data cannot be safely moved between releases,Operational releases become risky and expensive,Add versioned migrations with rollback strategy and seed process,"Database schema",L
SUN-004,Data Persistence,No server-side validation,Business records are accepted through client state only,P0,Clinical Safety,Invalid or contradictory clinical data can be saved,Staff may rely on inaccurate patient information,Support and remediation costs increase,Add server-side validation for all clinical and administrative entities,"API routes, domain schemas",L
SUN-005,Data Persistence,No concurrency control,React state is local to one browser session,P1,Enterprise Readiness,Concurrent edits can overwrite each other,Teams cannot safely coordinate updates,Multi-user deployments are unreliable,Implement optimistic locking and conflict handling,"Database, API",M
SUN-006,Data Persistence,No backup and recovery,No database backup or disaster recovery workflow exists,P0,Compliance or Security,Permanent data loss after outage or incident,Clinical teams may lose all records and history,Contract and regulatory exposure increases,Configure encrypted backups and tested restore procedures,"Production database, cloud environment",L
SUN-007,Data Persistence,No retention policy,Persisted-record lifecycle and deletion rules are undefined,P1,Compliance or Security,Records may be retained or deleted unlawfully,Administrators cannot manage legal holds,Storage and regulatory risk remain uncontrolled,Define retention schedules and controlled disposition,"Compliance review, database",L
SUN-008,Authentication,Demo staff picker is not authentication,Users select a staff identity without credentials,P0,Launch Blocker,Anyone can impersonate any staff member,Users cannot securely sign in,Product cannot be used with protected health information,Implement production authentication with secure sessions,"Identity provider, user directory",XL
SUN-009,Authentication,No password or credential policy,No real credentials or credential lifecycle exists,P0,Compliance or Security,Compromised credentials cannot be controlled,Staff lack secure account recovery and management,Security review and customer due diligence fail,Implement credential policy with reset and lockout controls,"Identity provider",L
SUN-010,Authentication,SSO not implemented,No SAML or OIDC integration exists,P1,Enterprise Readiness,Enterprise identity controls cannot be applied,Organizations must manage duplicate accounts,Enterprise sales and onboarding are blocked,Add SAML and OIDC SSO with tenant configuration,"Tenant model, identity provider",L
SUN-011,Authentication,MFA not implemented,No second-factor enrollment or challenge exists,P0,Compliance or Security,Account takeover risk is high,Staff accounts lack modern protection,HIPAA security expectations and enterprise requirements are unmet,Implement mandatory configurable MFA and recovery controls,"Identity provider, notification service",L
SUN-012,Authentication,Session management absent,No server sessions or expiry exists,P0,Compliance or Security,Stolen sessions may remain usable,Users cannot sign out all devices reliably,Unauthorized access risk persists,Add secure sessions with idle timeout and revocation,"Auth service, backend",M
SUN-013,Authorization,Permissions are UI-only,17 roles represented but enforcement is in the UI only,P0,Launch Blocker,Users can bypass restrictions through direct requests,Sensitive workflows may be visible or editable without authorization,Least-privilege claims are indefensible,Enforce permissions server-side on every resource and action,"Auth, role model, API",XL
SUN-014,Authorization,No resource-level authorization,No patient or facility access checks verified,P0,Clinical Safety,Staff may access wrong patient records,Cross-patient disclosure or errors are possible,Serious privacy and safety exposure,Add policy-based resource authorization and access tests,"Tenant model, backend",XL
SUN-015,Authorization,No permission administration backend,Role and permission changes are not persisted,P1,Enterprise Readiness,Access changes may not take effect,Administrators cannot manage staff reliably,Enterprise administration is not operational,Build role assignment and permission management APIs,"Auth, database",L
SUN-016,Audit,AI audit events are in memory,AI audit history disappears when session ends,P0,Compliance or Security,Clinical AI use cannot be audited,Investigations lack evidence,HIPAA audit-control requirements unmet,Persist immutable AI audit events with actor and timestamp,"Database, auth, audit schema",L
SUN-017,Audit,No comprehensive audit trail,No durable audit record covers clinical and administrative actions,P0,Compliance or Security,Unauthorized changes cannot be investigated,Patients and staff lack accountability,HIPAA audit-control requirements not met,Record create/read/update/export/delete events,"Backend, auth, retention policy",XL
SUN-018,Audit,Audit records not tamper-evident,No append-only store or hash chain exists,P1,Compliance or Security,Audit evidence may be altered or disputed,Investigators cannot trust historical records,Legal and compliance response weakened,Implement append-only audit storage and integrity verification,"Audit persistence, security architecture",L
SUN-019,Audit,No audit-log search or export,Administrators have no durable investigation workflow,P1,Enterprise Readiness,Incident response is slow and incomplete,Compliance teams cannot efficiently answer inquiries,Customer support and audit effort increase,Add filtered audit search and export capabilities,"Audit store, authorization",M
SUN-020,HIPAA,No HIPAA technical safeguards implementation,Required technical controls not implemented or verified,P0,Compliance or Security,PHI may be exposed or mishandled,Providers cannot safely operate the platform,HIPAA sales and contracting blocked,Complete HIPAA control implementation and evidence package,"Security program, infrastructure",XL
SUN-021,HIPAA,No 42 CFR Part 2 backend controls,Consent enforcement is UI-only with no backend,P0,Compliance or Security,Substance-use records may be improperly disclosed,Patients lose confidentiality protections,Major regulatory and contractual exposure,Implement Part 2 consent segmentation and disclosure workflows,"Authorization, consent model, audit",XL
SUN-022,HIPAA,No minimum-necessary enforcement,No data minimization policy enforced,P0,Compliance or Security,Users may access more PHI than needed,Screens and exports can expose sensitive details,Privacy risk and breach scope increase,Enforce minimum-necessary views and exports,"RBAC, data classification",XL
