IntegrationCategory,IntegrationName,Status,RelevantScreen,UIPresent,ApiConnected,CredentialsConfigured,DataFlowDefined,VendorSelected,ContractStatus,HIPAACompliant,TestingEvidence,ProductionReadiness,Gap,Priority,RecommendedVendors
Revenue,"Clearinghouse (EDI 837P/837I submission)",Missing,RevenueCycle,Yes,No,No,No,No,Not started,Unknown,None,Missing,No claim submission capability,P0,"Change Healthcare, Availity, Waystar"
Revenue,"Clearinghouse (ERA/835 remittance posting)",Missing,RevenueCycle,Yes,No,No,No,No,Not started,Unknown,None,Missing,No payment posting capability,P0,"Change Healthcare, Availity"
Revenue,"Real-time eligibility (270/271)",Missing,"Admissions, InsuranceAuthorization",Yes,No,No,No,No,Not started,Unknown,None,Missing,Cannot verify patient coverage at intake,P0,"Availity, Waystar, Experian Health"
Revenue,"Prior authorization (278)",Missing,InsuranceAuthorization,Yes,No,No,No,No,Not started,Unknown,None,Missing,No electronic PA submission,P1,"Availity, CoverMyMeds, Olive"
Revenue,Patient statements and online payment,Missing,RevenueCycle,No,No,No,No,No,Not started,Unknown,None,Missing,No patient responsibility collection,P1,"Stripe, PaySimple, InstaMed"
Clinical,E-prescribing (Surescripts NCPDP SCRIPT),Missing,"PhysicianOrders, MATManagement",Yes,No,No,No,No,Not started,Unknown,None,Missing,No electronic prescribing capability,P0,"Surescripts, DrFirst, DoseSpot"
Clinical,Pharmacy integration (NCPDP),Missing,"FormularyManagement, NursingMAR",Yes,No,No,No,No,Not started,Unknown,None,Missing,No fill status or refill coordination,P1,"SureScripts, DrFirst"
Clinical,Laboratory order interface (HL7 v2.5 / FHIR),Missing,UADrugTesting,Yes,No,No,No,No,Not started,Unknown,None,Missing,No electronic lab ordering,P1,"Quest, LabCorp, Rhapsody"
Clinical,Laboratory results interface,Missing,"UADrugTesting, PatientDetail",Yes,No,No,No,No,Not started,Unknown,None,Missing,No inbound result matching,P1,"Quest, LabCorp, Rhapsody"
Clinical,PDMP query (Prescription Drug Monitoring),Missing,PhysicianOrders,No,No,No,No,No,Not started,Unknown,None,Missing,Prescribers cannot check controlled substance history,P0,"Bamboo Health, NarxCare"
Clinical,Drug interaction database,Missing,PhysicianOrders,No,No,No,No,No,Not started,Unknown,None,Missing,No interaction or allergy checking,P1,"First Databank, Multum, DrFirst"
Clinical,Telehealth video platform,Missing,TelehealthConsults,Yes (placeholder),No,No,No,No,Not started,Unknown,None,Missing,No real video session capability,P0,"Doxy.me, Zoom for Healthcare, Teams"
Clinical,Release of information (ROI) fax/secure,Missing,MedicalRecords,Yes,No,No,No,No,Not started,Unknown,None,Missing,No fax or secure delivery of records,P1,"WaFd, HealthMark, MRO"
Identity,SSO (SAML 2.0 / OIDC),Missing,LoginPage,No,No,No,No,No,Not started,Unknown,None,Missing,No enterprise identity federation,P1,"Okta, Azure AD, Ping Identity"
Identity,MFA provider,Missing,LoginPage,No,No,No,No,No,Not started,Unknown,None,Missing,No second-factor authentication,P0,"Okta, Duo, Microsoft Authenticator"
Identity,Directory sync (SCIM),Missing,StaffAdmin,No,No,No,No,No,Not started,Unknown,None,Missing,No automated staff provisioning,P2,"Okta, Azure AD"
Messaging,Secure messaging (patient-facing),Missing,SecureMessaging,Yes,No,No,No,No,Not started,Unknown,None,Missing,No real HIPAA-compliant messaging backend,P1,"Spruce, Klara, Luma Health"
Messaging,SMS appointment reminders,Missing,AppointmentCalendar,No,No,No,No,No,Not started,Unknown,None,Missing,No patient reminders,P2,"Twilio, Bandwidth, Luma"
Messaging,Automated push notifications,Missing,CommandCenter,Yes (simulated),No,No,No,No,Not started,Unknown,None,Missing,No real notification delivery,P1,"Firebase, OneSignal, APNs"
Compliance,State licensure verification (CAMTS/CAQH),Missing,CertificationTracker,Yes,No,No,No,No,Not started,Unknown,None,Missing,No automated credential verification,P2,"Veritas, CAQH, Verifides"
Compliance,OIG/SAM exclusion screening,Missing,StaffAdmin,No,No,No,No,No,Not started,Unknown,None,Missing,Staff cannot be screened for OIG exclusions,P1,"Streamline, ProviderScreen"
Compliance,Background check integration,Missing,StaffAdmin,No,No,No,No,No,Not started,Unknown,None,Missing,No automated background check workflow,P2,"Checkr, Sterling"
Compliance,NPI registry lookup,Missing,"StaffAdmin, PhysicianOrders",No,No,No,No,No,Not started,Unknown,None,Missing,No NPI verification at provider entry,P2,NPPES public API
Interoperability,FHIR R4 patient summary (read),Missing,PatientDetail,No,No,No,No,No,Not started,Unknown,None,Missing,No external record retrieval,P1,"Commonwell, Carequality, Epic FHIR"
Interoperability,FHIR R4 document write,Missing,ProgressNotes,No,No,No,No,No,Not started,Unknown,None,Missing,Cannot share notes to external EHRs,P2,FHIR R4 server
Interoperability,HL7 v2 ADT messages (admit/transfer/discharge),Missing,"Admissions, Discharges",No,No,No,No,No,Not started,Unknown,None,Missing,No downstream system notifications on census events,P1,"Mirth Connect, Rhapsody"
Interoperability,Direct messaging (DIRECT protocol),Missing,MedicalRecords,No,No,No,No,No,Not started,Unknown,None,Missing,No DIRECT messaging for care coordination,P2,"Surescripts Direct, CommonWell"
Analytics,Population health data feed,Missing,PopulationAnalytics,Yes,No,No,No,No,Not started,Unknown,None,Missing,Analytics are all from mock data,P2,"Health Catalyst, Arcadia"
Analytics,Business intelligence / BI export,Missing,RevenueCycle,No,No,No,No,No,Not started,Unknown,None,Missing,No BI tool connection,P2,"Looker, Metabase, Tableau"
Operations,Document management (storage),Missing,MedicalRecords,Yes,No,No,No,No,Not started,Unknown,None,Missing,No real document storage,P1,"AWS S3 + HIPAA, Azure Blob"
Operations,Scanning / OCR integration,Missing,MedicalRecords,No,No,No,No,No,Not started,Unknown,None,Missing,No document scanning workflow,P2,"Kofax, ABBYY"
Operations,LMS (Learning Management System),Missing,Training,Yes,No,No,No,No,Not started,Unknown,None,Missing,Training content is UI-only; no real LMS,P2,"Relias, TalentLMS, Workday Learning"
