Role,RoleId,Screen,ViewPermission,CreatePermission,EditPermission,DeletePermission,SignPermission,CoSignPermission,ExportPermission,AIPermission,PatientAccessRestriction,FacilityRestriction,ReadOnlyBehavior,HiddenActionBehavior,DirectRouteProtection,Notes,Result
Clinical Supervisor,clinical_supervisor,Dashboard,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Has full access to all dashboard actions,Pass
Clinical Supervisor,clinical_supervisor,ProgressNotes,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Can sign and co-sign notes; AI assist enabled,Pass
Clinical Supervisor,clinical_supervisor,TreatmentPlans,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Can approve and sign treatment plans,Pass
Clinical Supervisor,clinical_supervisor,ASAMAssessments,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full access to ASAM assessments,Pass
Clinical Supervisor,clinical_supervisor,GroupNotes,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Can sign and co-sign group notes,Pass
Clinical Supervisor,clinical_supervisor,CosignQueue,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Primary co-signer role,Pass
Clinical Supervisor,clinical_supervisor,NursingMAR,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only access to MAR,Pass
Clinical Supervisor,clinical_supervisor,WithdrawalMonitor,full,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Full access to withdrawal monitoring,Pass
Clinical Supervisor,clinical_supervisor,RevenueCycle,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No access to revenue cycle,Pass
Clinical Supervisor,clinical_supervisor,InsuranceAuthorization,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Can view but not edit auths,Pass
Clinical Supervisor,clinical_supervisor,AuditCompliance,read,No,No,No,No,No,Yes,No,No,No,Yes,No,View-only compliance access,Pass
Clinical Supervisor,clinical_supervisor,StaffAdmin,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No staff admin access,Pass
Clinical Supervisor,clinical_supervisor,MedicalRecords,full,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Full medical records access including ROI,Pass
Clinical Supervisor,clinical_supervisor,AIAssistant,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,AI tools enabled,Pass
Clinical Supervisor,clinical_supervisor,IncidentReporting,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full incident reporting access,Pass
Clinical Supervisor,clinical_supervisor,PatientList,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full patient list access,Pass
Clinical Supervisor,clinical_supervisor,Admissions,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full admissions access,Pass
Clinical Supervisor,clinical_supervisor,Discharges,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full discharges access,Pass
Clinical Supervisor,clinical_supervisor,BedManagement,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only bed management,Pass
Clinical Supervisor,clinical_supervisor,Settings,full,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Can manage own settings,Pass
Certified Clinician,certified_clinician,Dashboard,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only dashboard,Pass
Certified Clinician,certified_clinician,ProgressNotes,full,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Can sign own notes; cannot co-sign,Pass
Certified Clinician,certified_clinician,TreatmentPlans,full,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Can create and edit treatment plans,Pass
Certified Clinician,certified_clinician,ASAMAssessments,full,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Full ASAM assessment access,Pass
Certified Clinician,certified_clinician,GroupNotes,full,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Can sign group notes; no co-sign,Pass
Certified Clinician,certified_clinician,CosignQueue,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,Cannot access co-sign queue,Pass
Certified Clinician,certified_clinician,NursingMAR,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No MAR access,Pass
