Screenshot,Screen,Role,Viewport,Workflow,RequirementIDs,StateShown,TemporaryTestStateUsed,Notes
screenshots/01-dashboard-director-1440x900.jpg,Login / Staff Picker,Unauthenticated,1280x720,WF-0 System entry point,L.RBAC X.Session,Staff picker modal; demo credentials visible; five staff profiles shown,None,Actual URL: /app/. Inner pages require authenticated session; Screenshot tool cannot click login. This is the only state directly capturable without browser automation.
screenshots/02-login-staff-picker-1920x1080.jpg,Login / Staff Picker,Unauthenticated,1920x1080,WF-0 System entry point,L.RBAC X.Session,Staff picker at 1920x1080 showing more staff profiles including CMO and Prescriber,None,Wide viewport shows additional staff profiles in picker.
screenshots/33-tablet-viewport-login-768x1024.jpg,Login / Staff Picker,Unauthenticated,768x1024,WF-0 System entry point — tablet viewport,L.RBAC X.Session,Tablet viewport; single-column layout; staff picker fully responsive,None,Confirms login page is responsive at tablet width.
screenshots/34-mobile-viewport-login-390x844.jpg,Login / Staff Picker,Unauthenticated,390x844,WF-0 System entry point — mobile viewport,L.RBAC X.Session,Mobile viewport 390x844; text truncated on staff name; layout adjusts to single column,None,Confirms login page is responsive at mobile width. Text truncation observed on staff name field.
[Not Captured],Dashboard,director_of_operations (or any logged-in role),1280x720,WF-1 Census and bed management,"C.FacilityDashboard C.OccupancyRate J.OperationalDashboard",Requires interactive login — not capturable without browser automation tool,None,"Inner page. Requires clicking a staff profile in the login modal. Screenshot tool cannot interact. Requires Playwright or equivalent to capture. Evidence: Dashboard.tsx code-inspected (line ~1-200)."
[Not Captured],Sidebar expanded,director_of_operations,1280x720,All workflows,All screen permissions,Requires interactive login — not capturable without browser automation tool,None,Sidebar component in App.tsx code-inspected. Expansion state is in-memory React state.
[Not Captured],Sidebar compact,director_of_operations,1280x720,All workflows,All screen permissions,Requires interactive login — not capturable without browser automation tool,None,Sidebar compact mode requires interaction after login.
[Not Captured],Admissions,admin_staff,1280x720,WF-2 Patient admissions,"A.AdmissionsCoordinatorDashboard B.PatientDemographics B.InsurancePolicyCollection",Requires interactive login — not capturable without browser automation tool,None,Admissions.tsx code-inspected (multi-step intake form).
[Not Captured],Census and Bed Board,director_of_operations,1280x720,WF-1 Census and bed management,"C.RealTimeBedBoard C.PatientToBedAssignment C.OccupancyRate",Requires interactive login — not capturable without browser automation tool,None,CensusBedBoard.tsx code-inspected.
[Not Captured],Patient List,certified_clinician,1280x720,WF-3 Clinical documentation,"D.NoteSearchAndFiltering B.MRNAssignment",Requires interactive login — not capturable without browser automation tool,None,PatientList.tsx code-inspected.
[Not Captured],Patient Detail,certified_clinician,1280x720,WF-3 Clinical documentation,"B.PatientDemographicsCollection D.ProgressNoteCreation",Requires interactive login — not capturable without browser automation tool,None,PatientDetail.tsx code-inspected.
[Not Captured],ASAM Assessment,clinical_supervisor,1280x720,WF-3 Clinical documentation,"D.ASAMMultidimensionalAssessment D.ASAMLoC",Requires interactive login — not capturable without browser automation tool,None,ASAMAssessments.tsx code-inspected.
[Not Captured],Treatment Plan,clinical_supervisor,1280x720,WF-3 Clinical documentation,"D.TreatmentPlanCreation D.TreatmentPlanReviewCycle",Requires interactive login — not capturable without browser automation tool,None,TreatmentPlans.tsx code-inspected.
[Not Captured],Progress Notes,certified_clinician,1280x720,WF-4 AI-assisted clinical documentation,"D.ProgressNoteCreationBIRP K.AIAssistedNoteDrafting K.ImproveClarity",Requires interactive login — not capturable without browser automation tool,None,ProgressNotes.tsx code-inspected (~3000 lines). AI assist pipeline code-inspected.
[Not Captured],Group Notes,certified_clinician,1280x720,WF-5 Group therapy,"D.GroupTherapyNotes Q.GroupTherapyAttendance",Requires interactive login — not capturable without browser automation tool,None,GroupNotes.tsx code-inspected.
[Not Captured],Clinical Documentation Review,certified_clinician,1280x720,WF-4 AI-assisted clinical documentation,"K.AIDocumentationReviewPipeline K.SectionAwareClarity",Requires interactive login — not capturable without browser automation tool,None,ProgressNoteAIAssist.tsx (~2900 lines) code-inspected.
[Not Captured],Improve Clarity,certified_clinician,1280x720,WF-4 AI-assisted clinical documentation,"K.ImproveClarity K.StaleDetection",Requires interactive login — not capturable without browser automation tool,None,clarityConfig.ts (339 lines) code-inspected; 96 unit tests passing.
[Not Captured],Medical Necessity,certified_clinician,1280x720,WF-4 AI-assisted clinical documentation,"K.MedicalNecessityCheck G.MedicalNecessityDocumentation",Requires interactive login — not capturable without browser automation tool,None,medicalNecessityConfig.ts code-inspected; 28 unit tests passing.
[Not Captured],Internal Consistency,certified_clinician,1280x720,WF-4 AI-assisted clinical documentation,K.InternalConsistencyCheck,Requires interactive login — not capturable without browser automation tool,None,ProgressNoteAIAssist.tsx code-inspected. No unit tests for consistency engine.
[Not Captured],Medication Administration (NursingMAR),nursing,1280x720,WF-6 Medication and nursing,"E.MAR E.VitalSigns E.CIWAAr",Requires interactive login — not capturable without browser automation tool,None,NursingMAR.tsx code-inspected.
[Not Captured],Withdrawal Monitoring,nursing,1280x720,WF-6 Medication and nursing,"E.CIWAAr E.COWS P.CIWAArTrending",Requires interactive login — not capturable without browser automation tool,None,WithdrawalMonitor.tsx code-inspected.
[Not Captured],Drug Screens (UADrugTesting),nursing,1280x720,WF-6 Medication and nursing,"E.UADrugTestingChainOfCustody E.UADrugTestingResultsInterface",Requires interactive login — not capturable without browser automation tool,None,UADrugTesting.tsx code-inspected; uses localStorage for persistence.
[Not Captured],Calendar (AppointmentCalendar),admin_staff,1280x720,WF-7 Scheduling,"F.IndividualAppointmentScheduling Q.ProviderAvailabilityCalendar",Requires interactive login — not capturable without browser automation tool,None,AppointmentCalendar.tsx code-inspected.
[Not Captured],Insurance Authorization,billing_staff,1280x720,WF-8 Utilization review and revenue cycle,"G.ConcurrentReviewDocumentation G.PriorAuthorizationRequest R.ConcurrentReviewTracking",Requires interactive login — not capturable without browser automation tool,None,InsuranceAuthorization.tsx code-inspected.
[Not Captured],Revenue Cycle,billing_staff,1280x720,WF-8 Utilization review and revenue cycle,"H.ChargeCapture H.ClaimGeneration S.ChargeMasterConfiguration",Requires interactive login — not capturable without browser automation tool,None,RevenueCycle.tsx code-inspected.
[Not Captured],Population Analytics,director_of_operations,1280x720,WF-9 Analytics and reporting,"J.PopulationAnalyticsDashboard V.PopulationHealthExport",Requires interactive login — not capturable without browser automation tool,None,PopulationAnalytics.tsx code-inspected.
[Not Captured],AI Assistant,clinical_supervisor,1280x720,WF-4 AI-assisted clinical documentation,K.StandaloneAIAssistant,Requires interactive login — not capturable without browser automation tool,None,AIAssistant.tsx code-inspected; UI placeholder only; no real AI.
[Not Captured],Notification Panel,any logged-in role,1280x720,All workflows,All notification-capable features,Requires interactive login — not capturable without browser automation tool,None,Notification panel code-inspected in top bar component.
[Not Captured],Quick Actions,director_of_operations,1280x720,WF-1 Census and bed management,Dashboard quick action pins (localStorage),Requires interactive login — not capturable without browser automation tool,None,Quick action pins persist to localStorage per code inspection.
[Not Captured],Staff Management,human_resources,1280x720,WF-10 Workforce compliance,"I.StaffCertificationAndLicenseTracking T.CompetencyAssessment",Requires interactive login — not capturable without browser automation tool,None,StaffAdmin.tsx code-inspected.
[Not Captured],Roles and Permissions,security_admin,1280x720,All workflows,"L.17ConfigurableRoles L.RoleBasedAccessControl",Requires interactive login — not capturable without browser automation tool,None,RoleExplorer.tsx and mockRoles.ts code-inspected.
[Not Captured],Organization Settings,ownership,1280x720,All workflows,L.MultiTenantArchitecture,Requires interactive login — not capturable without browser automation tool,None,OrgSettings.tsx code-inspected.
[Not Captured],Read-only role (bht or bht_supervisor),bht,1280x720,All workflows,"L.RoleBasedAccessControl L.ReadOnlyBanner",Requires interactive login — not capturable without browser automation tool,None,ReadOnlyBanner.tsx and mockRoles.ts code-inspected. bht role has read-only on most clinical screens.
[Not Captured],Unauthorized role (AccessDenied state),billing_staff navigating to clinical screen,1280x720,All workflows,"L.RoleBasedAccessControl L.ServerSideRBAC",Requires interactive login — not capturable without browser automation tool,None,AccessDenied.tsx and withAccess() HOC code-inspected in App.tsx.
