"Domain","Capability","Priority","Present","MaturityScore","ProductionStatus","RelevantScreen","RelevantFile","APIOrDataSource","PermissionEvidence","AuditEvidence","TestEvidence","IntegrationEvidence","Screenshot","Gap","Risk","RecommendedNextTask","VerificationMethod","ManualUITested","CodeInspected","AutomatedTestPresent","BackendVerified","ExternalIntegrationVerified"
"A","Referral intake form","Critical","Yes","2","Demo","ReferralTracker","ReferralTracker.tsx","mockReferrals.ts","full for business_development","In-memory only","None","None","screenshots/login.jpg","No persistence","Medium","Persist referral records to database","Code Inspection","No","Yes","No","No","No"
"A","Referral source tracking","High","Yes","2","Demo","ReferralTracker","ReferralTracker.tsx","mockReferrals.ts","full for business_development","In-memory only","None","None","","Referral source data is mock","Medium","Add referral source database schema","Code Inspection","No","Yes","No","No","No"
"A","Referral status lifecycle (New/Contacted/Screened/Admitted/Declined)","High","Yes","2","Demo","ReferralTracker","ReferralTracker.tsx","mockReferrals.ts","full for business_development","In-memory only","None","None","","Status changes not persisted","Medium","Implement referral state machine with persistence","Code Inspection","No","Yes","No","No","No"
"A","Referral conversion rate analytics","Medium","Yes","2","Demo","BusinessDevelopment","BusinessDevelopment.tsx","Page-local mock data","full for business_development","In-memory only","None","None","","All analytics mock","Medium","Connect analytics to real referral data","Code Inspection","No","Yes","No","No","No"
"A","Duplicate referral detection","Medium","No","0","Missing","ReferralTracker","","None","","","None","None","","Missing feature","High","Implement duplicate detection at referral entry","Unable to Verify","No","No","No","No","No"
"A","Marketing campaign attribution","Low","Yes","1","Demo","BusinessDevelopment","BusinessDevelopment.tsx","Page-local mock","full for business_development","In-memory only","None","None","","No real attribution tracking","Low","Add UTM / campaign tracking to referral source","Code Inspection","No","Yes","No","No","No"
"A","Insurance eligibility at pre-screen","Critical","Yes (UI)","1","Demo","Admissions","Admissions.tsx","None (no API)","full for admin_staff","None","None","None","","No real VOB API","Critical","Integrate real-time eligibility (270/271) via clearinghouse","Code Inspection","No","Yes","No","No","No"
"A","Level-of-care pre-screening","High","Yes","2","Demo","Admissions","Admissions.tsx","Page-local mock","full for admin_staff","In-memory only","None","None","","Screening not persisted","High","Connect pre-screening to ASAM recommendation engine","Code Inspection","No","Yes","No","No","No"
"A","Waitlist management","High","Yes","2","Demo","WaitlistManager","WaitlistManager.tsx","Page-local mock","full for admin_staff","In-memory only","None","None","","No persistence","Medium","Persist waitlist to database with priority queue","Code Inspection","No","Yes","No","No","No"
"A","Waitlist prioritization rules","Medium","Yes","1","Demo","WaitlistManager","WaitlistManager.tsx","Page-local mock","full for admin_staff","None","None","None","","Prioritization rules are UI-only","Medium","Implement configurable priority rules engine","Code Inspection","No","Yes","No","No","No"
"A","Automatic waitlist outreach","Low","No","0","Missing","WaitlistManager","","None","","","None","None","","Feature absent","Low","Implement automated SMS/email outreach from waitlist","Unable to Verify","No","No","No","No","No"
"A","Bed availability check from referral","High","Yes","1","Demo","Admissions","Admissions.tsx","Page-local bed data","full for admin_staff","None","None","None","","No real bed system connection","High","Link referral intake to real-time bed availability","Code Inspection","No","Yes","No","No","No"
"A","Admission agreement and consent collection","High","Yes","2","Demo","ClinicalForms","ClinicalForms.tsx","Page-local form data","full for clinical_supervisor","In-memory only","None","None","","Consent not persisted","Critical","Persist signed consent records with wet-signature capture","Code Inspection","No","Yes","No","No","No"
"A","Financial responsibility agreement","High","Yes","1","Demo","FinancialCounseling","FinancialCounseling.tsx","Page-local mock","full for billing_staff","In-memory only","None","None","","No persistence","High","Persist financial agreements with signature capture","Code Inspection","No","Yes","No","No","No"
"A","Admissions coordinator dashboard","Medium","Yes","2","Demo","Admissions","Admissions.tsx","mockReferrals.ts","full for admin_staff","In-memory only","None","None","","No persistence","Medium","Build admissions queue with real-time status","Code Inspection","No","Yes","No","No","No"
"A","Geographic market analytics","Low","Yes","1","Demo","BusinessDevelopment","BusinessDevelopment.tsx","Page-local mock","full for business_development","None","None","None","","Mock data","Low","Connect to real referral geographic data","Code Inspection","No","Yes","No","No","No"
"A","Referral response time tracking","Medium","No","0","Missing","ReferralTracker","","None","","","None","None","","Feature missing","Medium","Add SLA-based referral response time tracking","Unable to Verify","No","No","No","No","No"
"A","Competitor bed-board integration","Low","No","0","Missing","","","None","","","None","None","","Not applicable for demo","Low","Not applicable for MVP","Unable to Verify","No","No","No","No","No"
"A","Photo ID and insurance card capture","High","No","0","Missing","Admissions","","None","","","None","None","","Document capture absent","High","Add document capture at intake","Unable to Verify","No","No","No","No","No"
"A","Discharge destination tracking","Medium","Yes","1","Demo","Discharges","Discharges.tsx","mockPatients.ts","full for clinical_supervisor","In-memory only","None","None","","Not linked to aftercare","Medium","Link discharge destination to aftercare planning record","Code Inspection","No","Yes","No","No","No"
"B","Patient demographics collection","Critical","Yes","2","Demo","Admissions","Admissions.tsx","Page-local","full for admin_staff","In-memory only","None","None","","Not persisted","Critical","Persist patient demographics to database","Code Inspection","No","Yes","No","No","No"
"B","MRN assignment","Critical","Yes","1","Demo","PatientList","mockPatients.ts","mockPatients.ts","full for admin_staff","None","None","None","","MRN is mock (p1-p26 etc)","Critical","Implement auto-incrementing MRN generation with check-digit","Code Inspection","No","Yes","No","No","No"
"B","Patient photo capture","Medium","No","0","Missing","Admissions","","None","","","None","None","","Feature absent","Low","Add webcam/upload photo capture at registration","Unable to Verify","No","No","No","No","No"
"B","Emergency contact collection","High","Yes","1","Demo","Admissions","Admissions.tsx","Page-local","full for admin_staff","In-memory only","None","None","","Not persisted","High","Add emergency contact to patient model","Code Inspection","No","Yes","No","No","No"
"B","Guarantor information","High","No","0","Missing","Admissions","","None","","","None","None","","Feature absent","High","Add guarantor to patient and financial models","Unable to Verify","No","No","No","No","No"
"B","Insurance policy collection (primary/secondary)","Critical","Yes","1","Demo","Admissions","Admissions.tsx","Page-local","full for admin_staff","In-memory only","None","None","","Not persisted; no payer lookup","Critical","Persist insurance records; integrate payer directory","Code Inspection","No","Yes","No","No","No"
"B","Benefits verification (VOB)","Critical","Yes (UI)","1","Demo","Admissions","Admissions.tsx","None","full for admin_staff","None","None","None","","No real eligibility API","Critical","Integrate real-time eligibility API","Code Inspection","No","Yes","No","No","No"
"B","Authorization prior to admission","Critical","Yes (UI)","1","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","Page-local","full for billing_staff","In-memory only","None","None","","No payer submission","Critical","Build real authorization request workflow with payer API","Code Inspection","No","Yes","No","No","No"
"B","Release of information forms","High","Yes","2","Demo","MedicalRecords","MedicalRecords.tsx","Page-local ROI data","full for admin_staff","In-memory only","None","None","","ROI not persisted","High","Persist ROI records with consent tracking","Code Inspection","No","Yes","No","No","No"
